Omoo,1847,Herman Melville (1819-1891)
Emma,1815,Jane Austen (1775-1817)
Thief of Time,1996,Terry Pratchett (1948-2015)
Neverwhere,1996,Neil Gaiman (1960-)
Blackout,2010,Connie Willis (1945-)
1Q84,2009,Haruki Murakami (1949-)
"The Life and Opinions of Tristram Shandy, Gentleman",1759,Laurence Sterne (1713-1768)
And Then There Were None,1939,Agatha Christie (1890-1976)
Boys and Sex,2020,Peggy Orenstein (1961-)
Girls and Sex,2016,Peggy Orenstein (1961-)
Good Omens,1990,Neil Gaiman (1960-) and Terry Pratchett (1948-2015)